,Year,Country,%_Engaged
0,2024,United States,33
1,2024,Canada,21
2,2024,El Salvador,41
3,2024,Uruguay,27
4,2024,Panama,35
5,2024,Paraguay,24
6,2024,Costa Rica,34
7,2024,Argentina,24
8,2024,Dominican Republic,33
9,2024,Venezuela,23
10,2024,Guatemala,31
11,2024,Peru,22
12,2024,Mexico,31
13,2024,Ecuador,21
14,2024,Brazil,31
15,2024,Colombia,21
16,2024,Honduras,29
17,2024,Bolivia,18
18,2024,Romania,36
19,2024,Slovakia,16
20,2024,Albania,27
21,2024,Czechia,15
22,2024,Iceland,26
23,2024,Germany,15
24,2024,North Macedonia,25
25,2024,Finland,15
26,2024,Latvia,24
27,2024,Netherlands,14
28,2024,Kosovo,24
29,2024,Croatia,12
30,2024,Sweden,23
31,2024,Greece,12
32,2024,Malta,22
33,2024,Belgium,12
34,2024,Denmark,21
35,2024,Austria,10
36,2024,Norway,21
37,2024,Ireland,10
38,2024,Bosnia and Herzegovina,21
39,2024,Poland,10
40,2024,Lithuania,20
41,2024,Hungary,10
42,2024,Bulgaria,19
43,2024,Spain,9
44,2024,Portugal,19
45,2024,Switzerland,9
46,2024,United Kingdom,10
47,2024,Cyprus,18
48,2024,Italy,8
49,2024,Slovenia,17
50,2024,Luxembourg,8
51,2024,Serbia,17
52,2024,France,7
53,2024,Montenegro,16
54,2024,Uzbekistan,41
55,2024,Russia,23
56,2024,Armenia,32
57,2024,Ukraine,20
58,2024,Kazakhstan,25
59,2024,Azerbaijan,20
60,2024,Moldova,14
61,2024,Iraq,23
62,2024,Jordan,19
63,2024,Israel,18
64,2024,Kuwait,18
65,2024,Libya,17
66,2024,Bahrain,16
67,2024,Morocco,14
68,2024,State of Palestine,13
69,2024,Yemen,13
70,2024,Turkiye,11
71,2024,Algeria,11
72,2024,Iran,11
73,2024,Tunisia,9
74,2024,Lebanon,8
75,2024,Egypt,6
76,2024,Senegal,40
77,2024,Mali,39
78,2024,Uganda,19
79,2024,Liberia,33
80,2024,Kenya,18
81,2024,Tanzania,31
82,2024,Zambia,17
83,2024,Gambia,29
84,2024,Nigeria,17
85,2024,South Africa,29
86,2024,Namibia,17
87,2024,Congo (Brazzaville),28
88,2024,Sierra Leone,17
89,2024,Burkina Faso,27
90,2024,Chad,17
91,2024,Botswana,25
92,2024,Cameroon,15
93,2024,Guinea,23
94,2024,Zimbabwe,14
95,2024,Mauritania,23
96,2024,Togo,13
97,2024,Benin,22
98,2024,Ghana,12
99,2024,Mauritius,19
100,2024,Mongolia,41
101,2024,Taiwan Province of China,12
102,2024,China,19
103,2024,Japan,6
104,2024,South Korea,13
105,2024,Hong Kong S.A.R. of China,6
106,2024,India,32
107,2024,Nepal,24
108,2024,Sri Lanka,24
109,2024,Bangladesh,28
110,2024,Afghanistan,12
111,2024,Pakistan,7
112,2024,Philippines,35
113,2024,Thailand,29
114,2024,Laos,27
115,2024,Indonesia,25
116,2024,Malaysia,23
117,2024,Myanmar,20
118,2024,Cambodia,16
119,2024,Vietnam,16
120,2024,Singapore,13
121,2024,New Zealand,22
122,2024,Australia,21
123,2023,United States,34
124,2023,Canada,21
125,2023,El Salvador,37
126,2023,Uruguay,26
127,2023,Panama,34
128,2023,Paraguay,22
129,2023,Costa Rica,31
130,2023,Argentina,21
131,2023,Dominican Republic,30
132,2023,Venezuela,22
133,2023,Guatemala,31
134,2023,Peru,19
135,2023,Mexico,27
136,2023,Ecuador,21
137,2023,Brazil,28
