Happiness_ID;Country_ID;Year;Happiness;Log_GDP_Per_Capita;Social_Support;Life_Expectancy;Freedom;Generosity;Corruption
1;125;2005;8.019;10.849;0.972;68.3;0.971;0.0;0.237
2;125;2008;7.971;10.878;0.954;68.96;0.97;0.266;0.248
3;124;2020;7.889;10.766;0.962;71.075;0.962;-0.123;0.164
4;124;2018;7.858;10.78;0.962;70.925;0.938;-0.133;0.199
5;125;2007;7.834;10.889;0.954;68.74;0.932;0.234;0.206
6;124;2021;7.794;10.794;0.97;71.15;0.963;-0.039;0.192
7;125;2011;7.788;10.845;0.962;69.62;0.935;0.292;0.22
8;124;2017;7.788;10.77;0.964;70.85;0.962;-0.008;0.192
9;124;2019;7.78;10.791;0.937;71.0;0.948;-0.058;0.195
10;131;2012;7.776;11.094;0.947;71.52;0.945;0.131;0.323
11;125;2010;7.771;10.836;0.975;69.4;0.944;0.237;0.175
12;124;2024;7.6276804502247755;10.683555827401975;0.9674790236225482;70.55777923397764;0.9546075826122695;-0.01060447810717435;0.19199171803112758
13;124;2022;7.729;10.811;0.974;71.225;0.959;0.101;0.19
14;125;2021;7.699;10.968;0.945;71.25;0.933;0.13;0.173
15;124;2023;7.699;10.808;0.947;71.3;0.943;-0.001;0.185
16;131;2019;7.694;11.155;0.949;72.5;0.913;0.029;0.294
17;125;2019;7.693;10.948;0.958;71.0;0.963;0.015;0.174
18;125;2009;7.683;10.822;0.939;69.18;0.949;0.258;0.206
19;129;2012;7.678;11.041;0.948;70.6;0.947;0.139;0.368
20;124;2006;7.672;10.745;0.965;68.72;0.969;-0.011;0.132
21;124;2008;7.671;10.796;0.951;69.16;0.934;0.022;0.217
22;53;2022;7.662;10.698;0.954;72.85;0.775;-0.007;0.655
23;124;2016;7.66;10.741;0.954;70.775;0.948;-0.033;0.25
24;72;2010;7.65;10.711;0.954;70.8;0.934;0.225;0.413
25;125;2018;7.649;10.936;0.958;70.875;0.935;0.012;0.151
26;129;2008;7.632;11.066;0.936;69.8;0.947;0.01;0.503
27;128;2008;7.631;10.894;0.944;70.82;0.883;0.359;0.419
28;34;2009;7.615;9.682;0.9;69.04;0.886;0.057;0.787
29;71;2007;7.604;10.562;0.967;69.74;0.878;0.272;0.295
30;129;2015;7.603;11.057;0.947;71.2;0.948;0.249;0.299
31;129;2016;7.596;11.06;0.96;71.25;0.954;0.125;0.41
32;72;2013;7.594;10.752;0.936;70.98;0.916;0.31;0.406
33;125;2017;7.594;10.922;0.952;70.75;0.955;0.149;0.181
34;126;2012;7.591;10.788;0.979;71.6;0.905;0.235;0.759
35;125;2013;7.589;10.849;0.965;70.06;0.92;0.209;0.17
36;125;2024;7.477090478984463;10.855963854464981;0.9491009642400328;70.71511598097392;0.9242501476937242;0.12533654623614923;0.1891528855306055
37;129;2017;7.579;11.076;0.95;71.3;0.953;0.228;0.25
38;53;2021;7.578;10.655;0.917;72.7;0.82;-0.008;0.726
39;126;2020;7.575;10.852;0.983;72.025;0.949;0.152;0.644
40;131;2015;7.572;11.116;0.938;71.7;0.928;0.102;0.21
41;134;2008;7.568;10.941;0.983;69.86;0.894;0.315;0.487
42;126;2021;7.565;10.878;0.98;72.05;0.923;0.257;0.664
43;128;2011;7.564;10.87;0.938;70.94;0.925;0.33;0.359
44;126;2023;7.562;10.934;0.979;72.1;0.918;0.299;0.697
45;127;2012;7.56;10.785;0.929;71.28;0.944;0.127;0.254
46;125;2016;7.558;10.9;0.954;70.625;0.948;0.132;0.21
47;125;2022;7.545;10.997;0.97;71.375;0.93;0.222;0.203
48;128;2016;7.541;10.894;0.926;71.175;0.907;0.233;0.433
49;126;2019;7.533;10.943;0.982;72.0;0.959;0.0;0.699
50;131;2009;7.525;11.065;0.938;71.34;0.891;0.118;0.342
51;126;2024;7.421810616124095;10.783229218047776;0.9833831134728019;71.46246552920623;0.9208770993694414;0.24373679324485045;0.7086592331261437
52;125;2012;7.52;10.844;0.951;69.84;0.933;0.133;0.187
53;127;2008;7.516;10.778;0.923;71.12;0.912;0.12;0.314
54;125;2020;7.515;10.924;0.947;71.125;0.938;0.045;0.214
55;125;2015;7.514;10.876;0.96;70.5;0.941;0.216;0.191
56;73;2007;7.513;10.931;0.809;66.76;0.872;0.191;0.633
57;126;2016;7.51;10.909;0.985;71.925;0.952;0.274;0.719
58;131;2018;7.509;11.151;0.93;72.3;0.926;0.094;0.301
59;125;2014;7.508;10.86;0.956;70.28;0.942;0.112;0.237
60;131;2020;7.508;11.124;0.946;72.7;0.917;-0.073;0.28
61;125;2023;7.504;10.996;0.916;71.5;0.923;0.089;0.184
62;128;2020;7.504;10.902;0.944;71.475;0.935;0.145;0.281
63;128;2010;7.502;10.86;0.957;70.9;0.921;0.344;0.399
64;126;2013;7.501;10.823;0.967;71.7;0.923;0.299;0.713
65;132;2013;7.499;10.878;0.95;70.2;0.922;0.163;0.679
66;126;2015;7.498;10.862;0.98;71.9;0.94;0.294;0.639
67;127;2010;7.496;10.775;0.97;71.2;0.905;0.136;0.253
68;131;2014;7.493;11.111;0.959;71.64;0.949;0.053;0.283
69;72;2009;7.488;10.692;0.943;70.74;0.915;0.241;0.413
70;72;2008;7.486;10.733;0.939;70.68;0.926;0.256;0.37
71;72;2007;7.482;10.734;0.809;70.62;0.93;0.244;0.406
72;52;2010;7.478;9.748;0.932;65.3;0.768;-0.163;0.754
73;126;2017;7.476;10.927;0.967;71.95;0.939;0.24;0.727
74;131;2017;7.474;11.13;0.95;72.1;0.925;0.173;0.316
75;131;2006;7.473;11.056;0.951;71.16;0.919;0.284;0.408
76;132;2011;7.471;10.881;0.944;70.0;0.939;0.126;0.703
77;128;2012;7.471;10.856;0.939;70.98;0.877;0.282;0.434
78;128;2005;7.464;10.809;0.947;70.7;0.901;0.0;0.571
79;128;2018;7.463;10.934;0.939;71.325;0.92;0.156;0.371
80;128;2017;7.459;10.917;0.937;71.25;0.92;0.245;0.363
81;131;2016;7.459;11.126;0.928;71.9;0.934;0.081;0.302
82;128;2007;7.452;10.876;0.944;70.78;0.896;0.339;0.445
83;70;2010;7.45;10.714;0.955;70.2;0.932;0.311;0.366
84;126;2022;7.449;10.916;0.985;72.075;0.936;0.222;0.692
85;124;2015;7.448;10.716;0.948;70.7;0.93;0.105;0.223
86;124;2013;7.445;10.722;0.941;70.26;0.919;0.034;0.306
87;129;2014;7.444;11.048;0.941;71.0;0.956;0.173;0.405
88;129;2018;7.444;11.077;0.966;71.35;0.96;0.086;0.268
89;35;2013;7.443;9.844;0.759;65.52;0.739;-0.171;0.615
90;129;2019;7.442;11.082;0.942;71.4;0.954;0.103;0.271
91;127;2021;7.439;10.893;0.932;72.15;0.953;0.172;0.191
92;127;2013;7.434;10.789;0.916;71.32;0.936;0.154;0.324
93;53;2011;7.433;10.48;0.893;71.48;0.722;0.136;0.891
94;34;2007;7.432;9.672;0.918;68.72;0.923;0.089;0.82
95;127;2022;7.431;10.912;0.949;72.275;0.939;0.232;0.213
96;72;2011;7.426;10.733;0.922;70.86;0.951;0.247;0.433
97;128;2019;7.425;10.947;0.941;71.4;0.886;0.207;0.36
98;124;2012;7.42;10.735;0.928;70.04;0.921;-0.007;0.361
99;72;2005;7.418;10.707;0.962;70.5;0.957;0.246;0.503
100;71;2015;7.418;10.622;0.987;69.9;0.942;0.322;0.186
101;129;2006;7.416;11.056;0.959;69.4;0.96;0.101;0.397
102;72;2012;7.415;10.739;0.948;70.92;0.918;0.284;0.466
103;72;2017;7.415;10.786;0.934;71.2;0.945;0.157;0.362
104;72;2015;7.413;10.769;0.939;71.1;0.931;0.247;0.427
105;128;2013;7.407;10.852;0.925;71.02;0.919;0.299;0.505
106;70;2011;7.406;10.723;0.967;70.28;0.945;0.364;0.382
107;130;2019;7.404;11.649;0.912;71.6;0.93;-0.051;0.39
108;132;2012;7.401;10.884;0.945;70.1;0.92;0.112;0.771
109;53;2014;7.401;10.531;0.889;71.72;0.707;0.088;0.818
110;127;2019;7.398;10.875;0.934;71.9;0.942;0.085;0.25
111;132;2018;7.396;10.919;0.912;70.775;0.904;0.048;0.523
112;124;2010;7.393;10.734;0.935;69.6;0.916;0.085;0.413
113;128;2022;7.39;10.978;0.929;71.625;0.868;0.223;0.459
114;124;2014;7.385;10.714;0.952;70.48;0.933;-0.007;0.265
115;34;2023;7.384;10.021;0.875;70.0;0.933;-0.067;0.767
116;127;2011;7.382;10.799;0.921;71.24;0.941;0.156;0.269
117;71;2008;7.381;10.541;0.944;69.76;0.893;0.291;0.334
118;127;2005;7.376;10.724;0.951;71.0;0.964;0.0;0.744
119;127;2018;7.375;10.866;0.931;71.775;0.942;0.072;0.263
120;71;2018;7.37;10.667;0.954;70.125;0.949;0.113;0.207
121;127;2016;7.369;10.846;0.912;71.525;0.918;0.141;0.246
122;70;2013;7.364;10.752;0.928;70.44;0.933;0.263;0.432
123;129;2021;7.362;11.096;0.948;71.5;0.936;0.166;0.263
124;53;2010;7.359;10.444;0.882;71.4;0.561;0.145;0.902
125;124;2011;7.354;10.754;0.938;69.82;0.936;0.095;0.32
126;53;2009;7.353;10.408;0.937;71.32;0.593;0.167;0.923
127;127;2024;7.249299319956394;10.775147591779197;0.9423859040810366;71.69847064970064;0.9368990789097847;0.16261069807222187;0.22321887553687036
128;70;2005;7.341;10.662;0.968;69.8;0.935;0.0;0.39
129;53;2024;7.246440016704995;10.573106935064736;0.946626994707771;72.32781763768574;0.7707764489388567;0.013514090727931471;0.693045654373272
130;53;2019;7.332;10.625;0.946;72.4;0.834;0.078;0.743
131;53;2017;7.331;10.583;0.916;72.1;0.768;0.138;0.793
132;131;2021;7.328;11.158;0.934;72.9;0.908;0.024;0.287
133;71;2017;7.327;10.65;0.955;70.05;0.942;0.287;0.222
134;128;2015;7.324;10.878;0.879;71.1;0.904;0.256;0.412
135;53;2013;7.321;10.512;0.909;71.64;0.739;0.145;0.849
136;128;2014;7.321;10.863;0.909;71.06;0.91;0.326;0.457
137;39;2010;7.321;10.01;0.928;67.5;0.755;-0.017;0.88
138;35;2012;7.32;9.844;0.767;65.38;0.788;-0.099;0.633
139;128;2024;7.225471792861407;10.837106726504965;0.92860235954415;70.9904552882174;0.8416104637487956;0.21961822440974466;0.4389701455765473
140;128;2021;7.314;10.944;0.919;71.55;0.856;0.266;0.397
141;127;2020;7.314;10.846;0.936;72.025;0.951;0.084;0.203
142;136;2020;7.312;10.856;0.905;71.1;0.864;-0.068;0.424
143;70;2015;7.309;10.77;0.952;70.6;0.922;0.327;0.357
144;71;2014;7.306;10.605;0.942;69.88;0.932;0.341;0.273
145;71;2006;7.305;10.541;0.946;69.72;0.932;0.304;0.224
146;72;2014;7.304;10.77;0.918;71.04;0.939;0.264;0.442
147;132;2010;7.303;10.856;0.914;69.9;0.896;0.125;0.546
148;129;2024;7.209269074436817;10.9744943730708;0.9480406915833491;70.91178691471926;0.9343692926665726;0.16918848957270527;0.27999552554731166
149;129;2022;7.295;11.119;0.927;71.55;0.939;0.182;0.314
150;132;2017;7.294;10.9;0.906;70.65;0.89;0.128;0.518
151;138;2008;7.294;10.577;0.948;70.76;0.834;-0.155;0.683
152;129;2020;7.29;11.063;0.956;71.45;0.965;0.068;0.271
153;70;2014;7.289;10.763;0.924;70.52;0.923;0.313;0.442
154;127;2015;7.289;10.838;0.929;71.4;0.935;0.206;0.232
155;127;2017;7.287;10.858;0.914;71.65;0.935;0.165;0.239
156;70;2007;7.285;10.694;0.965;69.96;0.891;0.342;0.513
157;71;2013;7.28;10.585;0.958;69.86;0.944;0.23;0.312
158;73;2008;7.28;10.923;0.953;66.74;0.878;0.249;0.668
159;34;2012;7.272;9.788;0.902;69.52;0.929;0.037;0.794
160;34;2010;7.271;9.721;0.915;69.2;0.881;0.038;0.763
161;56;2007;7.267;10.646;0.892;61.6;0.622;0.002;0.744
162;127;2009;7.266;10.725;0.903;71.16;0.864;0.216;0.292
