Country_ID,Year,Happiness_Score_Rank,GDP_Per_Capita_Rank,Social_Support_Rank,Life_Expectancy_Rank,Freedom_Rank,Generosity_Rank,Corruption_Rank
1,2005,17,15,17,14,12,2,22
1,2007,19,17,19,19,25,63,85
1,2010,33,30,15,30,46,66,99
1,2011,34,29,25,30,57,92,125
1,2012,31,32,29,33,62,106,126
1,2013,22,29,40,32,71,107,108
1,2014,29,31,43,33,48,121,111
1,2015,23,31,26,34,49,114,110
1,2016,22,32,18,36,37,125,117
1,2017,21,32,39,36,57,127,116
1,2018,15,29,17,34,71,134,101
1,2020,16,28,3,33,24,100,99
1,2021,13,28,6,34,24,26,98
1,2022,23,30,10,37,20,45,93
1,2023,18,28,14,38,19,66,100
1,2024,18,32,10,39,22,43,109
2,2006,23,20,16,40,76,83,84
2,2007,29,22,7,51,76,97,96
2,2008,39,28,22,49,71,101,100
2,2009,48,29,10,57,91,105,105
2,2010,70,38,43,67,100,114,111
2,2011,58,36,27,69,113,102,129
2,2012,54,38,25,70,119,129,126
2,2013,57,34,25,68,113,125,118
2,2014,42,36,26,69,126,131,130
2,2015,56,36,16,66,104,132,123
2,2016,51,36,14,63,117,134,131
2,2017,37,36,18,61,95,122,76
2,2018,33,31,17,54,107,127,102
2,2019,52,34,29,55,80,137,75
2,2020,30,29,10,48,55,97,79
2,2021,17,30,15,47,97,107,102
2,2022,10,33,13,45,109,130,37
2,2023,31,30,42,46,105,135,64
2,2024,19,33,22,49,107,135,77
3,2006,26,15,13,13,5,28,20
3,2009,38,23,15,19,6,48,46
3,2010,38,31,23,25,10,42,71
3,2011,39,30,14,25,15,60,102
3,2012,37,33,23,26,17,65,103
3,2013,42,31,13,25,21,42,111
3,2014,58,33,26,26,22,46,115
3,2015,55,33,34,26,21,57,113
3,2016,49,34,17,25,17,76,87
3,2017,43,34,17,25,18,66,92
3,2018,36,30,6,24,8,93,91
3,2019,24,33,6,25,8,93,76
3,2020,27,30,10,23,4,79,65
3,2021,19,29,3,23,37,56,57
3,2022,21,29,11,23,13,42,70
3,2023,22,26,22,21,10,63,63
3,2024,21,30,13,24,20,57,65
4,2007,53,46,37,53,95,44,73
4,2008,41,66,29,53,39,27,59
4,2009,36,70,55,62,89,12,104
4,2010,66,80,105,71,113,16,113
4,2011,91,87,95,75,107,45,111
4,2012,57,88,96,76,91,43,122
4,2013,38,85,102,74,112,24,117
4,2014,84,90,112,78,131,52,58
4,2015,79,85,78,79,121,24,90
4,2016,56,86,76,80,49,27,130
4,2017,45,86,88,87,46,32,136
4,2018,29,82,77,84,28,6,130
4,2019,33,85,71,88,58,8,133
4,2020,33,78,76,83,33,3,105
4,2021,23,76,61,87,42,8,86
4,2022,45,77,39,91,38,20,104
4,2023,16,71,77,91,26,8,90
4,2024,29,82,60,48,35,10,104
5,2005,26,20,22,21,18,2,26
5,2007,41,29,75,42,49,89,94
5,2009,54,35,63,46,76,94,103
5,2010,77,44,107,52,92,82,115
5,2011,76,47,98,53,91,101,129
5,2012,70,50,99,53,87,95,128
5,2013,75,48,82,53,94,99,125
5,2014,57,50,103,54,62,101,131
5,2015,54,49,83,55,59,112,133
5,2016,44,47,82,54,50,107,131
5,2017,47,46,79,55,54,118,137
5,2018,41,40,80,53,50,124,129
5,2019,46,42,72,54,55,132,139
5,2020,19,38,51,51,41,106,111
5,2021,27,40,64,52,32,115,118
5,2022,32,42,71,55,53,127,139
5,2023,35,37,71,55,51,129,131
5,2024,32,44,71,59,49,137,141
6,2006,34,19,22,26,40,80,40
6,2007,44,20,20,32,42,94,21
6,2008,44,27,23,33,62,96,19
6,2009,66,26,39,34,73,98,40
6,2011,55,34,28,37,77,110,27
6,2012,66,36,46,37,73,118,60
6,2013,62,33,34,35,57,117,35
6,2014,63,34,22,36,58,116,27
6,2015,57,35,24,34,44,118,20
6,2016,59,35,14,34,41,114,23
6,2017,54,35,14,34,42,93,30
6,2018,44,32,12,32,30,100,22
6,2019,53,35,22,33,36,87,21
6,2020,29,32,7,30,5,79,10
6,2021,25,31,10,31,9,49,13
6,2022,36,34,16,33,21,35,10
6,2023,39,32,2,31,17,62,8
6,2024,34,35,5,34,15,55,11
7,2005,20,17,15,15,19,2,27
7,2007,27,27,16,27,35,58,83
7,2009,39,30,18,30,24,27,77
7,2010,43,39,6,36,38,49,91
7,2011,52,39,30,35,29,75,105
7,2012,49,42,12,37,40,67,101
7,2013,55,39,26,37,50,101,108
7,2014,55,40,17,37,25,90,113
7,2015,42,40,37,38,60,99,67
7,2016,35,40,29,38,31,99,91
7,2017,40,40,50,38,60,99,26
7,2018,43,35,55,36,38,131,39
7,2019,41,37,52,36,39,134,37
7,2020,42,33,10,34,82,55,60
7,2021,55,33,12,34,86,33,49
7,2022,26,35,43,36,63,132,34
7,2023,24,31,34,36,80,135,33
7,2024,35,36,28,38,87,118,42
8,2007,70,40,40,37,91,83,76
8,2009,90,45,80,41,104,91,100
8,2010,93,55,102,50,111,103,112
8,2011,95,59,91,51,129,115,131
8,2012,71,61,72,52,126,99,123
8,2013,74,58,63,52,117,89,103
8,2014,81,60,93,53,122,42,117
8,2015,68,59,74,54,125,84,96
8,2016,57,60,44,52,117,87,108
8,2017,86,60,48,53,114,87,106
8,2018,48,58,60,52,91,87,109
8,2019,42,58,37,52,92,68,87
8,2020,45,52,56,49,45,14,78
8,2021,42,52,37,51,38,7,71
8,2022,30,55,36,53,75,53,84
8,2023,38,52,30,51,68,47,77
8,2024,37,56,33,57,62,33,85
9,2006,38,22,5,28,81,57,81
9,2010,41,34,21,44,81,84,92
9,2011,40,35,22,43,80,43,104
9,2012,48,39,21,45,95,67,112
9,2013,46,37,29,43,107,68,107
9,2014,40,39,17,44,108,109,119
9,2015,38,38,10,43,116,108,125
9,2016,42,39,8,43,100,80,123
9,2017,29,39,28,42,107,78,134
9,2018,38,36,22,39,84,109,125
9,2019,40,40,24,39,85,105,136
9,2020,23,36,9,37,87,75,103
9,2021,35,36,5,37,84,50,109
9,2022,48,40,4,37,98,116,102
9,2023,49,39,8,36,92,118,97
9,2024,45,40,3,39,99,105,116
10,2006,54,20,35,44,68,76,80
10,2007,74,24,45,55,44,84,82
10,2008,55,29,41,50,69,94,89
10,2009,80,32,68,58,99,92,94
10,2011,82,44,67,67,114,52,119
10,2012,75,46,58,68,110,73,106
10,2013,77,41,57,64,102,80,75
10,2014,56,43,41,65,96,83,71
10,2015,49,42,44,59,102,90,66
10,2016,48,43,29,59,104,116,102
10,2017,52,42,44,61,111,115,82
10,2018,53,38,27,59,123,122,71
10,2019,59,41,20,60,115,124,78
10,2020,37,37,26,57,59,76,68
10,2021,37,37,4,60,59,103,84
10,2022,49,42,20,62,61,67,103
10,2023,46,40,12,61,66,55,84
10,2024,46,43,12,66,61,81,97
11,2005,24,16,12,20,24,2,23
11,2007,60,23,10,36,82,81,74
11,2009,74,28,27,40,94,82,85
11,2010,83,36,36,48,103,98,116
11,2011,86,37,35,50,97,86,122
11,2012,94,43,32,51,107,100,118
11,2013,84,40,45,51,87,94,104
11,2014,78,40,59,52,129,115,94
11,2015,67,41,54,50,122,125,119
11,2016,66,41,40,49,127,123,127
11,2017,48,41,54,49,117,106,128
11,2018,48,37,6,46,110,130,127
11,2019,57,39,10,46,76,125,123
11,2020,46,35,18,43,78,93,82
11,2021,43,35,8,45,89,87,82
11,2022,69,37,13,46,78,82,107
11,2023,59,34,3,48,88,82,109
11,2024,56,38,4,50,94,87,110
12,2007,28,21,18,22,58,72,91
12,2009,49,27,43,26,85,102,97
12,2010,54,35,85,34,94,112,114
12,2011,62,40,86,33,123,117,131
12,2012,38,44,87,36,115,127,117
12,2013,48,43,93,36,103,118,118
12,2014,67,47,119,39,124,27,120
12,2015,70,45,88,41,90,101,88
12,2016,70,44,88,40,106,84,107
12,2017,75,45,97,39,106,94,129
12,2018,65,41,30,37,111,105,131
12,2019,71,44,20,38,96,110,137
12,2020,24,41,28,35,49,71,116
12,2021,38,38,23,37,40,66,120
12,2022,79,38,27,40,130,133,121
12,2023,61,35,23,38,131,130,89
12,2024,63,39,23,42,124,128,126
13,2007,62,53,70,21,97,41,84
13,2009,72,56,87,28,105,50,98
13,2010,86,68,89,39,115,91,103
13,2011,78,74,109,40,132,61,114
13,2012,90,78,85,44,128,61,124
13,2013,73,73,85,44,128,37,127
13,2014,74,75,90,46,132,15,133
13,2015,77,72,114,47,108,81,132
13,2016,83,72,84,47,115,24,133
13,2017,90,72,95,47,133,36,135
13,2018,54,65,69,45,114,17,128
13,2019,55,66,59,46,104,30,140
13,2020,64,58,37,44,94,19,110
13,2021,62,58,52,48,80,5,116
13,2022,66,62,66,50,92,22,136
13,2023,57,59,43,51,53,12,137
13,2024,65,64,56,54,77,14,143
14,2007,52,37,47,33,86,78,43
14,2009,77,43,60,39,81,76,54
14,2010,62,52,81,47,97,108,44
14,2011,68,55,75,48,115,123,57
