Year,Country,%_Engaged
2024,United States,33
2024,Canada,21
2024,El Salvador,41
2024,Uruguay,27
2024,Panama,35
2024,Paraguay,24
2024,Costa Rica,34
2024,Argentina,24
2024,Dominican Republic,33
2024,Venezuela,23
2024,Guatemala,31
2024,Peru,22
2024,Mexico,31
2024,Ecuador,21
2024,Brazil,31
2024,Colombia,21
2024,Honduras,29
2024,Bolivia,18
2024,Romania,36
2024,Slovakia,16
2024,Albania,27
2024,Czech Republic,15
2024,Iceland,26
2024,Germany,15
2024,North Macedonia,25
2024,Finland,15
2024,Latvia,24
2024,Netherlands,14
2024,Kosovo,24
2024,Croatia,12
2024,Sweden,23
2024,Greece,12
2024,Malta,22
2024,Belgium,12
2024,Denmark,21
2024,Austria,10
2024,Norway,21
2024,Ireland,10
2024,Bosnia and Herzegovina,21
2024,Poland,10
2024,Lithuania,20
2024,Hungary,10
2024,Bulgaria,19
2024,Spain,9
2024,Portugal,19
2024,Switzerland,9
2024,United Kingdom,10
2024,Cyprus,18
2024,Italy,8
2024,Slovenia,17
2024,Luxembourg,8
2024,Serbia,17
2024,France,7
2024,Montenegro,16
2024,Uzbekistan,41
2024,Russian Federation,23
2024,Armenia,32
2024,Ukraine,20
2024,Kazakhstan,25
2024,Azerbaijan,20
2024,Republic of Moldova,14
2024,Iraq,23
2024,Jordan,19
2024,Israel,18
2024,Kuwait,18
2024,Libya,17
2024,Bahrain,16
2024,Morocco,14
2024,State of Palestine,13
2024,Yemen,13
2024,Turkiye,11
2024,Algeria,11
2024,Iran,11
2024,Tunisia,9
2024,Lebanon,8
2024,Egypt,6
2024,Senegal,40
2024,Mali,39
2024,Uganda,19
2024,Liberia,33
2024,Kenya,18
2024,Tanzania,31
2024,Zambia,17
2024,Gambia,29
2024,Nigeria,17
2024,South Africa,29
2024,Namibia,17
2024,Republic of the Congo,28
2024,Sierra Leone,17
2024,Burkina Faso,27
2024,Chad,17
2024,Botswana,25
2024,Cameroon,15
2024,Guinea,23
2024,Zimbabwe,14
2024,Mauritania,23
2024,Togo,13
2024,Benin,22
2024,Ghana,12
2024,Mauritius,19
2024,Mongolia,41
2024,Taiwan Province of China,12
2024,China,19
2024,Japan,6
2024,South Korea,13
2024,Hong Kong SAR of China,6
2024,India,32
2024,Nepal,24
2024,Sri Lanka,24
2024,Bangladesh,28
2024,Afghanistan,12
2024,Pakistan,7
2024,Philippines,35
2024,Thailand,29
2024,Laos,27
2024,Indonesia,25
2024,Malaysia,23
2024,Myanmar,20
2024,Cambodia,16
2024,Vietnam,16
2024,Singapore,13
2024,New Zealand,22
2024,Australia,21
2023,United States,34
2023,Canada,21
2023,El Salvador,37
2023,Uruguay,26
2023,Panama,34
2023,Paraguay,22
2023,Costa Rica,31
2023,Argentina,21
2023,Dominican Republic,30
2023,Venezuela,22
2023,Guatemala,31
2023,Peru,19
2023,Mexico,27
2023,Ecuador,21
2023,Brazil,28
2023,Colombia,18
2023,Honduras,34
2023,Bolivia,18
2023,Romania,34
2023,Slovakia,18
2023,Albania,26
2023,Czech Republic,15
2023,Iceland,26
2023,Germany,16
2023,North Macedonia,29
2023,Finland,15
2023,Latvia,24
2023,Netherlands,14
2023,Kosovo,24
2023,Croatia,15
2023,Sweden,22
2023,Greece,12
2023,Malta,20
2023,Belgium,11
2023,Denmark,20
2023,Austria,10
2023,Norway,20
2023,Ireland,11
2023,Bosnia and Herzegovina,22
2023,Poland,14
2023,Lithuania,25
2023,Hungary,10
2023,Bulgaria,22
2023,Spain,10
2023,Portugal,20
2023,Switzerland,11
2023,United Kingdom,10
2023,Cyprus,19
2023,Italy,4
2023,Slovenia,16
2023,Luxembourg,10
2023,Serbia,18
2023,France,7
2023,Montenegro,20
2023,Uzbekistan,34
2023,Russian Federation,22
2023,Armenia,32
2023,Ukraine,23
2023,Kazakhstan,27
2023,Azerbaijan,20
2023,Republic of Moldova,20
2023,Iraq,26
2023,Jordan,17
2023,Israel,19
2023,Kuwait,17
2023,Libya,12
2023,Bahrain,19
2023,Morocco,14
2023,State of Palestine,13
2023,Yemen,13
2023,Turkiye,13
2023,Algeria,8
2023,Iran,9
2023,Tunisia,11
2023,Lebanon,10
2023,Egypt,12
2023,Senegal,41
2023,Mali,47
2023,Uganda,19
2023,Liberia,33
2023,Kenya,17
2023,Tanzania,24
2023,Zambia,18
2023,Gambia,29
2023,Nigeria,13
2023,South Africa,26
2023,Namibia,18
2023,Republic of the Congo,30
2023,Sierra Leone,20
2023,Burkina Faso,27
2023,Chad,18
2023,Botswana,25
2023,Cameroon,17
2023,Guinea,19
2023,Zimbabwe,14
2023,Mauritania,23
2023,Togo,14
2023,Benin,22
2023,Ghana,12
2023,Mauritius,19
2023,Mongolia,38
2023,Taiwan Province of China,11
2023,China,17
2023,Japan,5
2023,South Korea,11
2023,Hong Kong SAR of China,7
2023,India,33
2023,Nepal,25
2023,Sri Lanka,26
2023,Bangladesh,34
2023,Afghanistan,12
2023,Pakistan,9
2023,Philippines,30
2023,Thailand,25
2023,Laos,24
2023,Indonesia,24
2023,Malaysia,22
2023,Myanmar,21
2023,Cambonia,21
2023,Cambodia,21
2023,Singapore,13
2023,New Zealand,21
2023,Australia,19
